category,title,url,author1,year1,author2,year2
Album,Alice in Wonderword,https://ja.wikipedia.org/wiki/Alice_in_Wonderword,Fullkawa Honpo,2011,,
Album Cover,The Dark Side of the Moon,https://en.wikipedia.org/wiki/The_Dark_Side_of_the_Moon,"Hipgnosis, George Hardie",1973,,
Animated Series,CLANNAD,https://en.wikipedia.org/wiki/Clannad_(video_game)#Anime_series,"Kyoto Animation, based on Key’s visual novel _CLANNAD_",2007–2009,,
Architecture,Centre Pompidou,https://en.wikipedia.org/wiki/Centre_Pompidou,"Renzo Piano, Richard Rogers, Gianfranco Franchini",1977,,
Backpack,Kånken,https://en.wikipedia.org/wiki/Fjällräven#Fjällräven_Kånken,Fjällräven,1978,,
Beverage,Suntory Oolong tea サントリー烏龍茶,https://www.suntory.com/brands/suntoryoolongtea/,Suntory,1981,,
Brick,Brick,https://web.archive.org/web/20160902021243/http://www.supremenewyork.com/previews/fallwinter2016/accessories/brick,Supreme,2016,,
CD Player,Wall Mounted CD Player,https://commons.wikimedia.org/wiki/File:Muji_NYC_inside_CD_players.jpg,"Naoto Fukasawa, MUJI",2000,,
Digital Camera,Pocket Camera,https://en.wikipedia.org/wiki/Game_Boy_Camera,Nintendo,1998,,
Film,A Brighter Summer Day 牯嶺街少年殺人事件,https://en.wikipedia.org/wiki/A_Brighter_Summer_Day,Edward Yang,1991,,
Film Camera,LEICA mini 3,https://wiki.l-camera-forum.com/leica-wiki.de/index.php/Kategorie:Leica_Kompaktkamera#Leica_mini_III_(1996–1997),Leica Camera,1996,,
Food,Sausage McMuffin with Egg,https://www.mcdonalds.com/us/en-us/product/sausage-mcmuffin-with-egg.html,"Herb Peterson, McDonald’s",1972,,
Game Console,Game Boy Advance,https://en.wikipedia.org/wiki/Game_Boy_Advance,Nintendo,2001,,
Jeans,Lot 1000XX,"https://ware-house.jp/newitem/ltng2201/#:~:text=Dead%20Stock%20Blue-,Lot%201000XX,-デッドストックという",WAREHOUSE & CO.,c. 1995,,
Laptop Computer,MacBook Air,https://en.wikipedia.org/wiki/MacBook_Air,Apple,2008,,
Logo,Kusa,,Zhang Xingtian,2020,,
Lyrics,Rose-colored 玫瑰色的你,https://www.youtube.com/watch?v=CMH-VJ9cvG8,Chiao An-p’u,2012,,
Manga,POP TEAM EPIC,https://en.wikipedia.org/wiki/Pop_Team_Epic,Bkub Okawa,2014–,,
Manzai,Manzai on Legendary Day 伝説の一日,https://110th.yoshimoto.co.jp,DOWNTOWN,2022,,
Mobile Application,Huji Cam,https://apps.apple.com/app/huji-cam/id781383622,Manhole,2017,,
Mobile Phone,iPhone 4,https://en.wikipedia.org/wiki/IPhone_4,Apple,2010,,
Musical Instrument,Little Sound Dj on Game Boy,https://littlesounddj.com/lsd/,Nintendo,1989,Johan Kotlinski,2001
Music Video,Kiwi キーウィ,https://www.youtube.com/watch?v=w3kIsodTAcI,ATOLS,2015,,
Notebook,Japonica Workbook ジャポニカ学習帳,https://ja.wikipedia.org/wiki/ショウワノート#ジャポニカ学習帳,SHOWA NOTE,1970,,
Novel,ZOO,https://ja.wikipedia.org/wiki/ZOO_(乙一),Otsuichi,2002,,
Perfume,Grey Vetiver,https://www.fragrantica.com/perfume/Tom-Ford/Grey-Vetiver-6697.html,"Harry Fremont, Tom Ford",2009,,
Photograph,Dropping a Han Dynasty Urn,https://en.wikipedia.org/wiki/Dropping_a_Han_Dynasty_Urn,Ai Weiwei,1995,,
Podcast,KUSO GAME SUCKER,https://www.gcores.com/users/13146/content?tab=radios,"Andor Genesis, Baozousangshi, Han Xiaofei, Yang Zijiang, GAMECORES",2015–2017,,
Poem,Passivity 被動,https://www.hsiayu.org/salsa（1999）/,"Hsia Yu, from _Salsa_",1999,,
Public Lecture,The Secret of Psalm 46,https://www.gdcvault.com/play/1022597/The-Secret-of-Psalm,Brian Moriarty,2002,,
Slogan,Greatness Awaits,https://www.youtube.com/watch?v=_B8PK-eg2QY,Sony Interactive Entertainment,2013,,
Sneaker,NikeCraft: General Purpose Shoe,https://store.tomsachs.com/products/nikecraft-general-purpose-shoe,"Tom Sachs, Nike",2020,,
Software,RPG Maker 2000 RPG ツクール 2000,https://en.wikipedia.org/wiki/RPG_Maker_2000,ASCII Corporation,2000,,
Soundtrack,Millennium Mambo (Original Motion Picture Soundtrack) 千禧曼波 電影原聲帶,https://www.discogs.com/release/10924870-Lim-Giong-千禧曼波-電影原聲帶-Millennium-Mambo-Original-Motion-Picture-Soundtrack,Lim Giong,2001,,
T-shirt,Lot 4601,https://ware-house.jp/newitem/ltng2308/,WAREHOUSE & CO.,c. 2010,,
Trailer,Death Stranding Reveal Trailer,https://www.youtube.com/watch?v=UcaMw4aCz4c,"Hideo Kojima, KOJIMA PRODUCTIONS",2016,,
Translated Work,Alice’s Adventures in Wonderland 阿麗思漫遊奇境記,https://en.wikipedia.org/wiki/Translations_of_Alice%27s_Adventures_in_Wonderland,"Yuen Ren Chao, author Lewis Carroll",1922,,
Typeface,Gill Sans,https://en.wikipedia.org/wiki/Gill_Sans,"Eric Gill, Monotype",1928,,
Variety Show,Kangsi Coming 康熙來了,https://en.wikipedia.org/wiki/Kangsi_Coming,"Dee Hsu, Kevin Tsai, Chen Han-dian, Chungta Production, Gin Star Entertainment",2004–2016,,
Video Game,FEZ,https://en.wikipedia.org/wiki/Fez_(video_game),"Phil Fish, Renaud Bédard, Polytron",2012,,
Watch,G-Shock DW-5000C,https://en.wikipedia.org/wiki/G-Shock#History,"Kikuo Ibe, Casio",1983,,
